FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090315;0000;;29,0875;;
090316;0000;;19,9958;;
090317;0000;;23,825;;
090318;0000;;22,3541;;
090319;0000;;19,3208;;
090320;0000;;26,0583;;
090321;0000;;33,9;;
090322;0000;;34,85;;
090323;0000;;29,0458;;
090324;0000;;21,7;;
090325;0000;;29,75;;
090326;0000;;38,775;;
090327;0000;;25,4291;;
090328;0000;;23,7833;;
090329;0000;;13,6833;;
090330;0000;;28,35;;
090331;0000;;33,3916;;
090401;0000;;;;
090402;0000;;;;
090403;0000;;13,25;;
090404;0000;;12,8333;;
090405;0000;;10,7917;;
090406;0000;;24,25;;
090407;0000;;17,6667;;
090408;0000;;13,2917;;
090409;0000;;17,75;;
090410;0000;;22,875;;
090411;0000;;17,2083;;
090412;0000;;18,0417;;
090413;0000;;20,2083;;
090414;0000;;25,625;;
090415;0000;;24,2917;;
090416;0000;;29,375;;
090417;0000;;24,1667;;
090418;0000;;32,5;;
090419;0000;;30,75;;
090420;0000;;33,7916;;
090421;0000;;33,6666;;
090422;0000;;;;
090423;0000;;21,7917;;
090424;0000;;27,8333;;
090425;0000;;29;;
090426;0000;;33,1666;;
090427;0000;;26,5833;;
090428;0000;;38,9166;;
090429;0000;;35,5833;;
090430;0000;;38,0833;;
090501;0000;;44,5833;;
090502;0000;;44,125;;
090503;0000;;39,0833;;
090504;0000;;10,875;;
090505;0000;;22,7;;
090506;0000;;30,9666;;
090507;0000;;29,9083;;
090508;0000;;26,0333;;
090509;0000;;20,2291;;
090510;0000;;26,4;;
090511;0000;;40,7958;;
090512;0000;;;;
090513;0000;;;;
090514;0000;;17,2041;;
090515;0000;;;;
090516;0000;;;;
090517;0000;;;;
090518;0000;;;;
090519;0000;;34,8041;;
090520;0000;;38,2791;;
090521;0000;;39,8541;;
090522;0000;;31,8416;;
090523;0000;;30,6583;;
090524;0000;;34,7499;;
090525;0000;;18,5291;;
090526;0000;;11,9318;;
090527;0000;;23,9833;;
090528;0000;;25,4041;;
090529;0000;;29,475;;
090530;0000;;36,0166;;
090531;0000;;24,8291;;
090601;0000;;30,0333;;
090602;0000;;61,3541;;
090603;0000;;84,4124;;
090604;0000;;68,0833;;
090605;0000;;46,0458;;
090606;0000;;46,3749;;
090607;0000;;41,2958;;
090608;0000;;40,7583;;
090609;0000;;70,7045;;
090610;0000;;71,229;;
090611;0000;;67,0332;;
090612;0000;;62,1249;;
090613;0000;;35,7958;;
090614;0000;;28,2708;;
090615;0000;;36,7999;;
090616;0000;;37,2249;;
090617;0000;;55,7499;;
090618;0000;;40,8875;;
090619;0000;;23,3521;;
090620;0000;;7,21249;;
090621;0000;;15,9125;;
090622;0000;;16,9708;;
090623;0000;;34,6958;;
090624;0000;;61,4957;;
090625;0000;;79,3873;;
090626;0000;;71,7207;;
090627;0000;;33,6625;;
090628;0000;;20,8416;;
090629;0000;;20,4625;;
090630;0000;;26,8;;
090701;0000;;19,8958;;
090702;0000;;7,40416;;
090703;0000;;13,3291;;
090704;0000;;8,16249;;
090705;0000;;7,52083;;
090706;0000;;7,15416;;
090707;0000;;7,55238;;
090708;0000;;17,6208;;
090709;0000;;28,1041;;
090710;0000;;17,5458;;
090711;0000;;21,625;;
090712;0000;;30,2583;;
090713;0000;;24,9875;;
090714;0000;;34,0833;;
090715;0000;;26,0208;;
090716;0000;;33,7625;;
090717;0000;;18,1917;;
090718;0000;;19,4833;;
090719;0000;;31,1125;;
090720;0000;;29,5083;;
090721;0000;;20,6636;;
090722;0000;;9,80415;;
090723;0000;;16,2208;;
090724;0000;;33,9916;;
090725;0000;;41,1749;;
090726;0000;;43,4541;;
090727;0000;;47,4916;;
090728;0000;;42,575;;
090729;0000;;38,4374;;
090730;0000;;35,7708;;
090731;0000;;48,225;;
090801;0000;;18,3;;
090802;0000;;40,6375;;
090803;0000;;47,5958;;
090804;0000;;23,325;;
090805;0000;;14,8417;;
090806;0000;;25,4916;;
090807;0000;;14,3083;;
090808;0000;;25,3792;;
090809;0000;;22,2083;;
090810;0000;;21,1125;;
090811;0000;;26,125;;
090812;0000;;24,4208;;
090813;0000;;34,275;;
090814;0000;;26,7833;;
090815;0000;;22,8583;;
090816;0000;;10,8625;;
090817;0000;;25,3286;;
090818;0000;;26,0667;;
090819;0000;;15,3167;;
090820;0000;;16,05;;
090821;0000;;25,4956;;
090822;0000;;25,0291;;
090823;0000;;17,0166;;
090824;0000;;31,4625;;
090825;0000;;23,6875;;
090826;0000;;25,0958;;
090827;0000;;33,075;;
090828;0000;;28,2458;;
090829;0000;;11,65;;
