FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
221015;0000;18;;;
221016;0000;12;;;
221017;0000;4;;;
221018;0000;4;;;
221019;0000;5;;;
221020;0000;10;;;
221021;0000;15;;;
221022;0000;15;;;
221023;0000;9;;;
221024;0000;;;;
221025;0000;10;;;
221026;0000;6;;;
221027;0000;11;;;
221028;0000;7;;;
221029;0000;13;;;
221030;0000;9;;;
221031;0000;11;;;
221101;0000;13;;;
221102;0000;12;;;
221103;0000;12;;;
221104;0000;11;;;
221105;0000;9;;;
221106;0000;9;;;
221107;0000;10;;;
221108;0000;6;;;
221109;0000;6;;;
221110;0000;5;;;
221111;0000;5;;;
221112;0000;7;;;
221113;0000;10;;;
221114;0000;11;;;
221115;0000;14;;;
221116;0000;14;;;
221117;0000;12;;;
221118;0000;16;;;
221119;0000;;;;
221120;0000;13;;;
221121;0000;16;;;
221122;0000;19;;;
221123;0000;12;;;
221124;0000;9;;;
221125;0000;10;;;
221126;0000;9;;;
221127;0000;7;;;
221128;0000;12;;;
221129;0000;7;;;
221130;0000;13;;;
221201;0000;10;;;
221202;0000;14;;;
221203;0000;16;;;
221204;0000;16;;;
221205;0000;14;;;
221206;0000;;;;
221207;0000;5;;;
221208;0000;5;;;
221209;0000;6;;;
221210;0000;8;;;
221211;0000;18;;;
221212;0000;15;;;
221213;0000;;;;
221214;0000;;;27;
221215;0000;;;;
221216;0000;11;;;
221217;0000;9;;;
221218;0000;9;;;
221219;0000;9;;;
221220;0000;6;;;
221221;0000;6;;;
221222;0000;16;;;
221223;0000;10;;;
221224;0000;15;;;
221225;0000;11;;;
221226;0000;9;;;
221227;0000;13;;;
221228;0000;16;;;
221229;0000;15;;;
221230;0000;13;;;
221231;0000;11;;;
230101;0000;12;;;
230102;0000;11;;;
230103;0000;11;;;
230104;0000;12;;;
230105;0000;8;;;
230106;0000;;;;
230107;0000;;;;
230108;0000;;;;
230109;0000;;;;
230110;0000;6;;;
230111;0000;10;;;
230112;0000;12;;;
230113;0000;12;;;
230114;0000;10;;;
230115;0000;11;;;
230116;0000;13;;;
230117;0000;11;;;
230118;0000;9;;;
230119;0000;10;;;
230120;0000;8;;;
230121;0000;11;;;
230122;0000;8;;;
230123;0000;11;;;
230124;0000;7;;;
230125;0000;10;;;
230126;0000;9;;;
230127;0000;9;;;
230128;0000;11;;;
230129;0000;10;;;
230130;0000;5;;;
230131;0000;10;;;
230201;0000;14;;;
230202;0000;16;;;
230203;0000;13;;;
230204;0000;12;;;
230205;0000;13;;;
230206;0000;36;;;
230207;0000;50;;;
230208;0000;30;;;
230209;0000;46;;;
230210;0000;36;;;
230211;0000;24;;;
230212;0000;20;;;
230213;0000;7;;;
230214;0000;12;;;
230215;0000;14;;;
230216;0000;10;;;
230217;0000;13;;;
230218;0000;15;;;
230219;0000;14;;;
230220;0000;18;;;
230221;0000;21;;;
230222;0000;15;;;
230223;0000;16;;;
230224;0000;17;;;
230225;0000;9;;;
230226;0000;14;;;
230227;0000;16;;;
230228;0000;16;;;
230301;0000;13;;;
230302;0000;12;;;
230303;0000;10;;;
230304;0000;13;;;
230305;0000;13;;;
230306;0000;10;;;
230307;0000;9;;;
230308;0000;7;;;
230309;0000;6;;;
