FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
221015;0000;20;;;
221016;0000;15;;;
221017;0000;10;;;
221018;0000;10;;;
221019;0000;9;;;
221020;0000;11;;;
221021;0000;14;;;
221022;0000;13;;;
221023;0000;13;;;
221024;0000;13;;;
221025;0000;7;;;
221026;0000;9;;;
221027;0000;11;;;
221028;0000;13;;;
221029;0000;11;;;
221030;0000;4;;;
221031;0000;10;;;
221101;0000;12;;;
221102;0000;15;;;
221103;0000;16;;;
221104;0000;18;;;
221105;0000;13;;;
221106;0000;13;;;
221107;0000;15;;;
221108;0000;15;;;
221109;0000;9;;;
221110;0000;11;;;
221111;0000;6;;;
221112;0000;5;;;
221113;0000;7;;;
221114;0000;10;;;
221115;0000;13;;;
221116;0000;12;;;
221117;0000;14;;;
221118;0000;14;;;
221119;0000;11;;;
221120;0000;11;;;
221121;0000;11;;;
221122;0000;14;;;
221123;0000;17;;;
221124;0000;14;;;
221125;0000;14;;;
221126;0000;13;;;
221127;0000;13;;;
221128;0000;14;;;
221129;0000;13;;;
221130;0000;11;;;
221201;0000;12;;;
221202;0000;14;;;
221203;0000;13;;;
221204;0000;9;;;
221205;0000;10;;;
221206;0000;;;;
221207;0000;;;;
221208;0000;11;;;
221209;0000;7;;;
221210;0000;9;;;
221211;0000;11;;;
221212;0000;14;;;
221213;0000;12;;;
221214;0000;12;;;
221215;0000;27;;;
221216;0000;78;;;
221217;0000;16;;;
221218;0000;14;;;
221219;0000;10;;;
221220;0000;9;;;
221221;0000;9;;;
221222;0000;8;;;
221223;0000;7;;;
221224;0000;11;;;
221225;0000;11;;;
221226;0000;12;;;
221227;0000;13;;;
221228;0000;14;;;
221229;0000;16;;;
221230;0000;18;;;
221231;0000;15;;;
230101;0000;17;;;
230102;0000;10;;;
230103;0000;12;;;
230104;0000;16;;;
230105;0000;17;;;
230106;0000;13;;;
230107;0000;12;;;
230108;0000;9;;;
230109;0000;11;;;
230110;0000;9;;;
230111;0000;11;;;
230112;0000;9;;;
230113;0000;11;;;
230114;0000;10;;;
230115;0000;13;;;
230116;0000;17;;;
230117;0000;16;;;
230118;0000;18;;;
230119;0000;17;;;
230120;0000;14;;;
230121;0000;14;;;
230122;0000;13;;;
230123;0000;13;;;
230124;0000;12;;;
230125;0000;9;;;
230126;0000;11;;;
230127;0000;13;;;
230128;0000;18;;;
230129;0000;12;;;
230130;0000;12;;;
230131;0000;12;;;
230201;0000;15;;;
230202;0000;19;;;
230203;0000;24;;;
230204;0000;17;;;
230205;0000;15;;;
230206;0000;47;;;
230207;0000;72;;;
230208;0000;56;;;
230209;0000;70;;;
230210;0000;68;;;
230211;0000;42;;;
230212;0000;31;;;
230213;0000;10;;;
230214;0000;11;;;
230215;0000;14;;;
230216;0000;14;;;
230217;0000;14;;;
230218;0000;16;;;
230219;0000;11;;;
230220;0000;16;;;
230221;0000;26;;;
230222;0000;25;;;
230223;0000;22;;;
230224;0000;20;;;
230225;0000;15;;;
230226;0000;14;;;
230227;0000;15;;;
230228;0000;15;;;
230301;0000;17;;;
230302;0000;13;;;
230303;0000;14;;;
230304;0000;16;;;
230305;0000;15;;;
230306;0000;15;;;
230307;0000;15;;;
230308;0000;11;;;
230309;0000;9;;;
230310;0000;10;;;
230311;0000;9;;;
230312;0000;8;;;
230313;0000;9;;;
230314;0000;10;;;
230315;0000;11;;;
230316;0000;12;;;
230317;0000;12;;;
230318;0000;11;;;
230319;0000;12;;;
230320;0000;12;;;
230321;0000;;;;
230322;0000;17;;;
230323;0000;23;;;
230324;0000;23;;;
230325;0000;22;;;
230326;0000;17;;;
230327;0000;21;;;
230328;0000;18;;;
230329;0000;14;;;
230330;0000;19;;;
230331;0000;;;;
230401;0000;;;;
230402;0000;;;;
230403;0000;;;;
230404;0000;;;;
230405;0000;;;;
230406;0000;;;;
230407;0000;19;;;
230408;0000;16;;;
230409;0000;20;;;
230410;0000;19;;;
230411;0000;19;;;
230412;0000;11;;;
230413;0000;10;;;
230414;0000;13;;;
230415;0000;20;;;
230416;0000;21;;;
230417;0000;18;;;
230418;0000;19;;;
230419;0000;30;;;
230420;0000;21;;;
230421;0000;15;;;
230422;0000;28;;;
230423;0000;21;;;
230424;0000;25;;;
230425;0000;26;;;
230426;0000;40;;;
230427;0000;43;;;
230428;0000;34;;;
230429;0000;11;;;
230430;0000;7;;;
230501;0000;20;;;
230502;0000;28;;;
230503;0000;34;;;
230504;0000;41;;;
230505;0000;50;;;
230506;0000;52;;;
230507;0000;78;;;
230508;0000;61;;;
230509;0000;45;;;
230510;0000;50;;;
230511;0000;39;;;
230512;0000;31;;;
230513;0000;42;;;
230514;0000;40;;;
230515;0000;35;;;
230516;0000;34;;;
230517;0000;14;;;
230518;0000;26;;;
230519;0000;29;;;
230520;0000;43;;;
230521;0000;40;;;
230522;0000;26;;;
230523;0000;40;;;
230524;0000;32;;;
230525;0000;46;;;
230526;0000;25;;;
230527;0000;33;;;
230528;0000;63;;;
230529;0000;63;;;
230530;0000;64;;;
230531;0000;67;;;
230601;0000;45;;;
230602;0000;35;;;
230603;0000;31;;;
230604;0000;43;;;
230605;0000;45;;;
230606;0000;52;;;
230607;0000;57;;;
230608;0000;27;;;
230609;0000;10;;;
230610;0000;13;;;
230611;0000;32;;;
230612;0000;57;;;
230613;0000;52;;;
230614;0000;44;;;
230615;0000;51;;;
230616;0000;50;;;
230617;0000;55;;;
230618;0000;43;;;
230619;0000;42;;;
230620;0000;39;;;
230621;0000;35;;;
230622;0000;17;;;
230623;0000;15;;;
230624;0000;16;;;
230625;0000;24;;;
230626;0000;18;;;
230627;0000;17;;;
230628;0000;47;;;
230629;0000;51;;;
