FECHA (YYMMDD);HORA (HHMM);;
140527;2000;0;
140527;2100;0;
140527;2200;0;
140527;2300;0;
140528;0000;0;
140528;0100;0;
140528;0200;0;
140528;0300;0;
140528;0400;0;
140528;0500;0;
140528;0600;0;
140528;0700;1;
140528;0800;18;
140528;0900;41;
140528;1000;105;
140528;1100;259;
140528;1200;194;
140528;1300;156;
140528;1400;125;
140528;1500;63;
140528;1600;16;
140528;1700;2;
140528;1800;0;
140528;1900;0;
140528;2000;0;
140528;2100;0;
140528;2200;0;
140528;2300;0;
140529;0000;0;
140529;0100;0;
140529;0200;0;
140529;0300;0;
140529;0400;0;
140529;0500;0;
140529;0600;0;
140529;0700;1;
140529;0800;36;
140529;0900;88;
140529;1000;77;
140529;1100;104;
140529;1200;165;
140529;1300;233;
140529;1400;175;
140529;1500;88;
140529;1600;56;
140529;1700;12;
140529;1800;0;
140529;1900;0;
140529;2000;0;
140529;2100;0;
140529;2200;0;
140529;2300;0;
140530;0000;0;
140530;0100;0;
140530;0200;0;
140530;0300;0;
140530;0400;0;
140530;0500;0;
140530;0600;0;
140530;0700;2;
140530;0800;54;
140530;0900;193;
140530;1000;267;
140530;1100;379;
140530;1200;475;
140530;1300;419;
140530;1400;515;
140530;1500;351;
140530;1600;102;
140530;1700;14;
140530;1800;0;
140530;1900;0;
140530;2000;0;
140530;2100;0;
140530;2200;0;
140530;2300;0;
140531;0000;0;
140531;0100;0;
140531;0200;0;
140531;0300;0;
140531;0400;0;
140531;0500;0;
140531;0600;0;
140531;0700;3;
140531;0800;48;
140531;0900;265;
140531;1000;479;
140531;1100;587;
140531;1200;622;
140531;1300;601;
140531;1400;504;
140531;1500;351;
140531;1600;103;
140531;1700;13;
140531;1800;0;
140531;1900;0;
140531;2000;0;
140531;2100;0;
140531;2200;0;
140531;2300;0;
140601;0000;0;
140601;0100;0;
140601;0200;0;
140601;0300;0;
140601;0400;0;
140601;0500;0;
140601;0600;0;
140601;0700;2;
140601;0800;46;
140601;0900;274;
140601;1000;490;
140601;1100;591;
140601;1200;632;
140601;1300;604;
140601;1400;500;
140601;1500;342;
140601;1600;106;
140601;1700;14;
140601;1800;0;
