FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040709;0000;;55,1208;;
040710;0000;;34,6458;;
040711;0000;;45,4624;;
040712;0000;;27,6166;;
040713;0000;;5,7;;
040714;0000;;27,9417;;
040715;0000;;47,1624;;
040716;0000;;59,5416;;
040717;0000;;53,2958;;
040718;0000;;50,5374;;
040719;0000;;37,2458;;
040720;0000;;24,5958;;
040721;0000;;25,321;;
040722;0000;;64,0082;;
040723;0000;;41,3708;;
040724;0000;;66,5957;;
040725;0000;;14,6792;;
040726;0000;;39,7208;;
040727;0000;;;;
040728;0000;;;;
040729;0000;;32,3583;;
040730;0000;;35,2083;;
040731;0000;;33,9363;;
040801;0000;;18,2958;;
040802;0000;;1,95;;
040803;0000;;0;;
040804;0000;;28,0541;;
040805;0000;;;;
040806;0000;;;;
040807;0000;;44,9958;;
040808;0000;;31,875;;
040809;0000;;54,2;;
040810;0000;;43,4333;;
040811;0000;;37,825;;
040812;0000;;36,9791;;
040813;0000;;38,405;;
040814;0000;;32,4166;;
040815;0000;;14,4583;;
040816;0000;;30,6667;;
040817;0000;;31,5417;;
040818;0000;;33,375;;
040819;0000;;35,375;;
040820;0000;;28,1364;;
040821;0000;;33,5833;;
040822;0000;;27,5417;;
040823;0000;;43,0833;;
040824;0000;;54,125;;
040825;0000;;49,25;;
040826;0000;;36,0952;;
040827;0000;;50,625;;
040828;0000;;43,625;;
040829;0000;;36,5833;;
040830;0000;;38,2083;;
040831;0000;;30,6667;;
040901;0000;;54,7916;;
040902;0000;;58,6522;;
040903;0000;;26,8333;;
040904;0000;;30,6667;;
040905;0000;;22,875;;
040906;0000;;22,375;;
040907;0000;;29,9583;;
040908;0000;;25,2917;;
040909;0000;;26,75;;
040910;0000;;31,25;;
040911;0000;;41,4545;;
040912;0000;;39,6666;;
040913;0000;;34,1666;;
040914;0000;;43,0624;;
040915;0000;;51,2608;;
040916;0000;;48,9166;;
040917;0000;;26,65;;
040918;0000;;23,3916;;
040919;0000;;14,625;;
040920;0000;;26,5958;;
040921;0000;;27,3625;;
