FECHA (YYMMDD);HORA (HHMM);;
140525;1000;14,6;
140525;1100;16,6;
140525;1200;16,2;
140525;1300;16;
140525;1400;16,5;
140525;1500;15,7;
140525;1600;14,8;
140525;1700;13,4;
140525;1800;12;
140525;1900;11,1;
140525;2000;10,7;
140525;2100;10,1;
140525;2200;9,5;
140525;2300;8,79999;
140526;0000;8,29999;
140526;0100;7,89999;
140526;0200;7,2;
140526;0300;7,1;
140526;0400;6,6;
140526;0500;6,2;
140526;0600;6,1;
140526;0700;6;
140526;0800;5,89999;
140526;0900;9;
140526;1000;14,9;
140526;1100;17,7;
140526;1200;17,7;
140526;1300;18,5;
140526;1400;21,8;
140526;1500;21,8;
140526;1600;17,8;
140526;1700;16,2;
140526;1800;17,2;
140526;1900;16,8;
140526;2000;16,3;
140526;2100;14,3;
140526;2200;11,7;
140526;2300;10,7;
140527;0000;10,7;
140527;0100;10,2;
140527;0200;9,09999;
140527;0300;8,7;
140527;0400;7,89999;
140527;0500;8;
140527;0600;7,6;
140527;0700;7,39999;
140527;0800;7,89999;
140527;0900;10,6;
140527;1000;16,8;
140527;1100;20,3;
140527;1200;19,8;
140527;1300;21,6;
140527;1400;22,8;
140527;1500;24,8;
140527;1600;19;
140527;1700;15,5;
140527;1800;13,6;
140527;1900;13,5;
140527;2000;12,6;
140527;2100;11,7;
140527;2200;11,7;
140527;2300;12,5;
140528;0000;13,4;
140528;0100;13,5;
140528;0200;13,2;
140528;0300;12,9;
140528;0400;12,5;
140528;0500;12,3;
140528;0600;12,4;
140528;0700;12,5;
140528;0800;12,4;
140528;0900;12,8;
140528;1000;13,6;
140528;1100;14,7;
140528;1200;14,7;
140528;1300;14,4;
140528;1400;14,1;
140528;1500;13,9;
140528;1600;13,6;
140528;1700;13,6;
140528;1800;13,5;
140528;1900;13,7;
140528;2000;14;
140528;2100;14,1;
140528;2200;14,1;
140528;2300;13,9;
140529;0000;14,3;
140529;0100;14,3;
140529;0200;13,5;
140529;0300;12,8;
140529;0400;12,9;
140529;0500;12,4;
140529;0600;12,5;
140529;0700;12,8;
140529;0800;13,7;
140529;0900;14,6;
140529;1000;14,8;
140529;1100;14,4;
140529;1200;15,1;
140529;1300;16,5;
140529;1400;16;
140529;1500;15,7;
140529;1600;15,6;
140529;1700;15;
140529;1800;13,7;
140529;1900;13,2;
140529;2000;13;
140529;2100;13;
140529;2200;12,6;
140529;2300;11,4;
140530;0000;10,7;
140530;0100;10,2;
140530;0200;9,79999;
140530;0300;9,5;
140530;0400;9,09999;
140530;0500;8,5;
140530;0600;8,09999;
140530;0700;7,89999;
140530;0800;8,59999;
140530;0900;10,9;
140530;1000;14,2;
140530;1100;17,2;
140530;1200;16,8;
140530;1300;16,6;
140530;1400;17,8;
140530;1500;18,9;
140530;1600;15,7;
140530;1700;15;
140530;1800;13,3;
140530;1900;12,9;
140530;2000;11,9;
140530;2100;10,7;
140530;2200;9,79999;
140530;2300;9,39999;
140531;0000;8,89999;
140531;0100;8,5;
140531;0200;8;
140531;0300;7,5;
140531;0400;7,3;
140531;0500;6,89999;
140531;0600;6,39999;
140531;0700;6,6;
140531;0800;6,7;
140531;0900;9;
140531;1000;13,8;
140531;1100;14,7;
140531;1200;15,1;
140531;1300;15,9;
140531;1400;17,6;
140531;1500;18,1;
140531;1600;15,1;
140531;1700;13,7;
140531;1800;12,2;
140531;1900;10,9;
140531;2000;9,89999;
140531;2100;9,09999;
140531;2200;8,29999;
140531;2300;8;
140601;0000;7,6;
140601;0100;7,39999;
140601;0200;7,3;
140601;0300;6,89999;
140601;0400;6,3;
140601;0500;6,2;
140601;0600;5,6;
140601;0700;5,39999;
140601;0800;5,8;
140601;0900;7,5;
140601;1000;12,8;
140601;1100;15;
140601;1200;15,3;
140601;1300;16,3;
140601;1400;17,4;
140601;1500;18,3;
140601;1600;14,7;
140601;1700;13;
140601;1800;11,4;
140601;1900;10,6;
140601;2000;9,79999;
140601;2100;9;
140601;2200;8,2;
140601;2300;7,5;
140602;0000;7,39999;
140602;0100;7;
140602;0200;7,1;
140602;0300;6,89999;
140602;0400;6,6;
140602;0500;6,7;
140602;0600;6,7;
140602;0700;6,2;
140602;0800;6,89999;
140602;0900;8,29999;
140602;1000;11,7;
140602;1100;13,8;
140602;1200;14,2;
140602;1300;14,3;
140602;1400;13,5;
140602;1500;13,6;
140602;1600;13,2;
140602;1700;12,5;
140602;1800;12;
140602;1900;11,9;
140602;2000;11,9;
140602;2100;11,5;
140602;2200;11;
140602;2300;10,7;
140603;0000;9,59999;
140603;0100;8,7;
140603;0200;7,7;
140603;0300;7,6;
140603;0400;7,39999;
140603;0500;7,6;
140603;0600;8,09999;
140603;0700;8,59999;
140603;0800;10,4;
140603;0900;13,5;
140603;1000;14,6;
140603;1100;15,1;
140603;1200;14,8;
140603;1300;14,4;
140603;1400;13,3;
140603;1500;12;
140603;1600;12;
140603;1700;12,1;
140603;1800;12,4;
140603;1900;11,2;
140603;2000;10,2;
140603;2100;10,5;
140603;2200;10,3;
140603;2300;9,79999;
140604;0000;9,39999;
140604;0100;9,2;
140604;0200;9;
140604;0300;8,79999;
140604;0400;8,59999;
140604;0500;8,59999;
140604;0600;8,7;
140604;0700;10,6;
140604;0800;;
140604;0900;;
140604;1000;;
140604;1100;;
140604;1200;;
140604;1300;;
140604;1400;;
140604;1500;;
140604;1600;;
140604;1700;;
140604;1800;;
140604;1900;10,1;
140604;2000;9,39999;
140604;2100;8,5;
140604;2200;7,89999;
140604;2300;7,6;
140605;0000;6,89999;
140605;0100;6,39999;
140605;0200;6,2;
140605;0300;5,7;
140605;0400;5,6;
140605;0500;5;
140605;0600;4,8;
140605;0700;4,6;
140605;0800;4,6;
140605;0900;7,3;
140605;1000;12,2;
140605;1100;15,7;
140605;1200;15,3;
140605;1300;16,7;
140605;1400;17,9;
140605;1500;18,5;
140605;1600;15,6;
140605;1700;14;
140605;1800;11,9;
140605;1900;;
140605;2000;;
140605;2100;;
140605;2200;;
140605;2300;;
140606;0000;;
140606;0100;;
140606;0200;;
140606;0300;;
140606;0400;;
140606;0500;;
140606;0600;;
140606;0700;;
140606;0800;;
140606;0900;;
140606;1000;;
140606;1100;;
140606;1200;;
140606;1300;;
140606;1400;;
140606;1500;;
140606;1600;;
140606;1700;;
140606;1800;;
140606;1900;10,4;
140606;2000;10,4;
140606;2100;9,59999;
140606;2200;8,79999;
140606;2300;7,89999;
140607;0000;7,8;
140607;0100;7,5;
140607;0200;7,5;
140607;0300;7,7;
140607;0400;7,3;
140607;0500;7,3;
140607;0600;7,39999;
140607;0700;7,5;
140607;0800;8;
140607;0900;9,5;
140607;1000;10,9;
140607;1100;11,7;
140607;1200;10,9;
140607;1300;8,7;
140607;1400;8,5;
140607;1500;9;
140607;1600;9;
140607;1700;8,89999;
140607;1800;8,39999;
140607;1900;7,7;
140607;2000;7;
140607;2100;6,39999;
140607;2200;5,89999;
140607;2300;5,7;
140608;0000;5,89999;
140608;0100;5,7;
140608;0200;5,7;
140608;0300;6,1;
140608;0400;6,6;
140608;0500;7;
140608;0600;7,39999;
140608;0700;8;
