FECHA (YYMMDD);HORA (HHMM);;
140526;1000;1011;
140526;1100;1010;
140526;1200;1010;
140526;1300;1009;
140526;1400;1008;
140526;1500;1008;
140526;1600;1008;
140526;1700;1009;
140526;1800;1009;
140526;1900;1010;
140526;2000;1010;
140526;2100;1010;
140526;2200;1010;
140526;2300;1010;
140527;0000;1010;
140527;0100;1009;
140527;0200;1009;
140527;0300;1009;
140527;0400;1008;
140527;0500;1008;
140527;0600;1008;
140527;0700;1008;
140527;0800;1007;
140527;0900;1007;
140527;1000;1007;
140527;1100;1006;
140527;1200;1005;
140527;1300;1004;
140527;1400;1004;
140527;1500;1004;
140527;1600;1003;
140527;1700;1003;
140527;1800;1003;
140527;1900;1003;
140527;2000;1003;
140527;2100;1003;
140527;2200;1006;
140527;2300;1006;
140528;0000;1007;
140528;0100;1007;
140528;0200;1007;
140528;0300;1007;
140528;0400;1007;
140528;0500;1007;
140528;0600;1008;
140528;0700;1008;
140528;0800;1008;
140528;0900;1008;
140528;1000;1009;
140528;1100;1008;
140528;1200;1008;
140528;1300;1007;
140528;1400;1007;
140528;1500;1007;
140528;1600;1007;
140528;1700;1007;
140528;1800;1007;
140528;1900;1007;
140528;2000;1008;
140528;2100;1008;
140528;2200;1008;
140528;2300;1008;
140529;0000;1008;
140529;0100;1008;
140529;0200;1008;
140529;0300;1008;
140529;0400;1008;
140529;0500;1008;
140529;0600;1008;
140529;0700;1009;
140529;0800;1010;
140529;0900;1010;
140529;1000;1011;
140529;1100;1011;
140529;1200;1011;
140529;1300;1010;
140529;1400;1010;
140529;1500;1011;
140529;1600;1011;
140529;1700;1011;
140529;1800;1011;
140529;1900;1010;
140529;2000;1010;
140529;2100;1011;
140529;2200;1011;
140529;2300;1011;
140530;0000;1011;
140530;0100;1011;
140530;0200;1011;
140530;0300;1011;
140530;0400;1011;
140530;0500;1011;
140530;0600;1011;
140530;0700;1012;
140530;0800;1012;
140530;0900;1012;
140530;1000;1013;
140530;1100;1013;
140530;1200;1013;
140530;1300;1012;
140530;1400;1012;
140530;1500;1012;
140530;1600;1012;
140530;1700;1012;
140530;1800;1013;
140530;1900;1013;
140530;2000;1013;
140530;2100;1013;
140530;2200;1014;
140530;2300;1014;
140531;0000;1014;
140531;0100;1014;
140531;0200;1014;
140531;0300;1014;
140531;0400;1014;
140531;0500;1014;
140531;0600;1014;
140531;0700;1014;
140531;0800;1015;
140531;0900;1015;
140531;1000;1015;
140531;1100;1015;
140531;1200;1014;
140531;1300;1014;
140531;1400;1012;
140531;1500;1012;
140531;1600;1012;
140531;1700;1012;
140531;1800;1012;
140531;1900;1012;
140531;2000;1012;
140531;2100;1013;
140531;2200;1012;
140531;2300;1012;
140601;0000;1012;
140601;0100;1012;
140601;0200;1012;
140601;0300;1012;
140601;0400;1012;
140601;0500;1011;
140601;0600;1011;
140601;0700;1011;
140601;0800;1010;
140601;0900;1010;
140601;1000;1009;
140601;1100;1009;
140601;1200;1009;
140601;1300;1008;
140601;1400;1007;
140601;1500;1007;
140601;1600;1007;
140601;1700;1007;
140601;1800;1008;
140601;1900;1008;
140601;2000;1009;
140601;2100;1009;
140601;2200;1009;
140601;2300;1009;
140602;0000;1009;
140602;0100;1009;
140602;0200;1008;
140602;0300;1008;
140602;0400;1007;
140602;0500;1006;
140602;0600;1006;
140602;0700;1006;
140602;0800;1006;
140602;0900;1006;
140602;1000;1006;
140602;1100;1006;
140602;1200;1006;
140602;1300;1005;
140602;1400;1004;
140602;1500;1004;
140602;1600;1005;
140602;1700;1005;
140602;1800;1005;
140602;1900;1006;
140602;2000;1005;
140602;2100;1005;
140602;2200;1005;
140602;2300;1005;
140603;0000;1005;
140603;0100;1005;
140603;0200;1005;
140603;0300;1004;
140603;0400;1004;
140603;0500;1003;
140603;0600;1004;
140603;0700;1004;
140603;0800;1004;
140603;0900;1004;
140603;1000;1004;
140603;1100;1004;
140603;1200;1004;
140603;1300;1004;
140603;1400;1003;
140603;1500;1003;
140603;1600;1003;
140603;1700;1003;
140603;1800;1004;
140603;1900;1005;
140603;2000;1005;
140603;2100;1006;
140603;2200;1007;
140603;2300;1008;
140604;0000;1008;
140604;0100;1008;
140604;0200;1009;
140604;0300;1009;
140604;0400;1009;
140604;0500;1009;
140604;0600;1010;
140604;0700;1011;
140604;0800;;
140604;0900;;
140604;1000;;
140604;1100;;
140604;1200;;
140604;1300;;
140604;1400;;
140604;1500;;
140604;1600;;
140604;1700;;
140604;1800;;
140604;1900;1012;
140604;2000;1012;
140604;2100;1012;
140604;2200;1012;
140604;2300;1012;
140605;0000;1012;
140605;0100;1012;
140605;0200;1012;
140605;0300;1012;
140605;0400;1012;
140605;0500;1012;
140605;0600;1012;
140605;0700;1012;
140605;0800;1012;
140605;0900;1012;
140605;1000;1013;
140605;1100;1013;
140605;1200;1012;
140605;1300;1011;
140605;1400;1011;
140605;1500;1010;
140605;1600;1010;
140605;1700;1010;
140605;1800;1009;
140605;1900;;
140605;2000;;
140605;2100;;
140605;2200;;
140605;2300;;
140606;0000;;
140606;0100;;
140606;0200;;
140606;0300;;
140606;0400;;
140606;0500;;
140606;0600;;
140606;0700;;
140606;0800;;
140606;0900;;
140606;1000;;
140606;1100;;
140606;1200;;
140606;1300;;
140606;1400;;
140606;1500;;
140606;1600;;
140606;1700;;
140606;1800;;
140606;1900;1009;
140606;2000;1009;
140606;2100;1010;
140606;2200;1010;
140606;2300;1011;
140607;0000;1011;
140607;0100;1012;
140607;0200;1012;
140607;0300;1012;
140607;0400;1012;
140607;0500;1012;
140607;0600;1012;
140607;0700;1013;
140607;0800;1013;
140607;0900;1013;
140607;1000;1014;
140607;1100;1014;
140607;1200;1014;
140607;1300;1014;
140607;1400;1014;
140607;1500;1015;
140607;1600;1015;
140607;1700;1015;
140607;1800;1015;
140607;1900;1015;
140607;2000;1015;
140607;2100;1015;
140607;2200;1015;
140607;2300;1015;
140608;0000;1015;
140608;0100;1015;
140608;0200;1014;
140608;0300;1014;
140608;0400;1014;
140608;0500;1014;
140608;0600;1014;
140608;0700;1014;
140608;0800;1014;
140608;0900;1015;
140608;1000;1016;
140608;1100;1016;
140608;1200;1017;
140608;1300;1016;
140608;1400;1016;
140608;1500;1016;
140608;1600;1017;
140608;1700;1017;
140608;1800;1017;
140608;1900;1017;
140608;2000;1017;
140608;2100;1017;
140608;2200;1016;
140608;2300;1016;
140609;0000;1016;
140609;0100;1015;
140609;0200;1014;
140609;0300;1013;
140609;0400;1012;
140609;0500;1012;
140609;0600;1012;
140609;0700;1011;
140609;0800;1011;
140609;0900;1011;
140609;1000;1010;
140609;1100;1010;
140609;1200;1009;
140609;1300;1008;
140609;1400;1007;
140609;1500;1006;
140609;1600;1006;
140609;1700;1006;
140609;1800;1006;
140609;1900;1006;
140609;2000;1007;
140609;2100;1008;
140609;2200;1008;
140609;2300;1008;
140610;0000;1008;
140610;0100;1009;
140610;0200;1008;
140610;0300;1009;
140610;0400;1009;
140610;0500;1009;
140610;0600;1009;
140610;0700;1010;
140610;0800;1010;
140610;0900;1010;
140610;1000;1010;
140610;1100;1010;
140610;1200;1010;
140610;1300;1009;
140610;1400;1008;
140610;1500;1007;
140610;1600;1007;
140610;1700;1008;
140610;1800;1008;
140610;1900;1008;
140610;2000;1008;
140610;2100;1008;
140610;2200;1008;
140610;2300;1007;
140611;0000;1007;
140611;0100;1007;
140611;0200;1006;
140611;0300;1006;
140611;0400;1005;
140611;0500;1005;
140611;0600;1004;
140611;0700;1004;
140611;0800;1005;
140611;0900;1005;
140611;1000;1005;
140611;1100;1004;
140611;1200;1004;
140611;1300;1004;
140611;1400;1003;
140611;1500;1003;
140611;1600;1003;
140611;1700;1003;
140611;1800;1003;
140611;1900;1004;
140611;2000;1005;
140611;2100;1006;
140611;2200;1006;
140611;2300;1006;
140612;0000;1007;
140612;0100;1007;
140612;0200;1008;
140612;0300;1008;
140612;0400;1009;
140612;0500;1009;
140612;0600;1010;
140612;0700;1011;
140612;0800;1012;
140612;0900;1013;
140612;1000;1014;
140612;1100;1015;
140612;1200;1015;
140612;1300;1015;
140612;1400;1016;
140612;1500;1016;
140612;1600;1017;
140612;1700;1017;
140612;1800;1017;
140612;1900;1017;
140612;2000;1017;
140612;2100;1017;
140612;2200;1018;
140612;2300;1017;
140613;0000;1017;
140613;0100;1016;
140613;0200;1016;
140613;0300;1016;
140613;0400;1015;
140613;0500;1015;
140613;0600;1015;
140613;0700;1016;
140613;0800;1016;
140613;0900;1016;
140613;1000;1016;
140613;1100;1016;
140613;1200;1015;
140613;1300;1014;
140613;1400;1013;
140613;1500;1012;
140613;1600;1012;
140613;1700;1011;
140613;1800;1011;
140613;1900;1012;
140613;2000;1012;
140613;2100;1012;
140613;2200;1013;
140613;2300;1013;
140614;0000;1013;
140614;0100;1014;
140614;0200;1013;
140614;0300;1013;
140614;0400;1013;
140614;0500;1013;
140614;0600;1013;
140614;0700;1013;
140614;0800;1013;
140614;0900;1013;
140614;1000;1013;
140614;1100;1012;
140614;1200;1011;
140614;1300;1010;
140614;1400;1010;
140614;1500;1009;
140614;1600;1009;
140614;1700;1010;
140614;1800;1010;
140614;1900;1011;
140614;2000;1011;
140614;2100;1012;
140614;2200;1012;
140614;2300;1012;
140615;0000;1012;
140615;0100;1012;
140615;0200;1012;
140615;0300;1011;
140615;0400;1011;
140615;0500;1011;
140615;0600;1011;
140615;0700;1011;
140615;0800;1012;
140615;0900;1012;
140615;1000;1013;
140615;1100;1013;
140615;1200;1012;
140615;1300;1012;
140615;1400;1011;
140615;1500;1011;
140615;1600;1011;
140615;1700;1011;
140615;1800;1012;
140615;1900;1012;
140615;2000;1012;
140615;2100;1012;
140615;2200;1012;
140615;2300;1012;
140616;0000;1011;
140616;0100;1011;
140616;0200;1010;
140616;0300;1010;
140616;0400;1009;
140616;0500;1009;
140616;0600;1009;
140616;0700;1009;
140616;0800;1009;
140616;0900;1009;
140616;1000;1008;
140616;1100;1008;
140616;1200;1007;
140616;1300;1006;
140616;1400;1005;
140616;1500;1005;
140616;1600;1005;
140616;1700;1005;
140616;1800;1005;
140616;1900;1005;
140616;2000;1005;
140616;2100;1005;
140616;2200;1005;
140616;2300;1006;
140617;0000;1005;
140617;0100;1005;
140617;0200;1005;
140617;0300;1004;
140617;0400;1004;
140617;0500;1004;
140617;0600;1004;
140617;0700;1005;
140617;0800;1005;
140617;0900;1005;
140617;1000;1005;
140617;1100;1006;
140617;1200;1005;
140617;1300;1005;
140617;1400;;
140617;1500;;
140617;1600;1005;
140617;1700;1006;
140617;1800;1006;
140617;1900;1007;
140617;2000;1007;
140617;2100;1007;
140617;2200;1007;
140617;2300;1007;
140618;0000;1007;
140618;0100;1007;
140618;0200;1007;
140618;0300;1007;
140618;0400;1007;
140618;0500;1007;
140618;0600;1008;
140618;0700;1008;
140618;0800;1009;
140618;0900;1009;
140618;1000;1009;
140618;1100;1009;
140618;1200;1009;
140618;1300;1008;
140618;1400;1008;
140618;1500;1008;
140618;1600;1008;
140618;1700;1008;
140618;1800;1009;
140618;1900;1009;
140618;2000;1009;
140618;2100;1008;
140618;2200;1008;
140618;2300;1008;
140619;0000;1008;
140619;0100;1008;
140619;0200;1007;
140619;0300;1007;
140619;0400;1007;
140619;0500;1007;
140619;0600;1007;
140619;0700;1007;
140619;0800;1008;
140619;0900;1008;
140619;1000;1009;
140619;1100;1009;
140619;1200;1009;
140619;1300;1009;
140619;1400;1009;
140619;1500;1009;
140619;1600;1009;
140619;1700;1009;
140619;1800;1009;
140619;1900;1009;
140619;2000;1009;
140619;2100;1009;
140619;2200;1010;
140619;2300;1010;
