FECHA (YYMMDD);HORA (HHMM);;
140527;2000;49;
140527;2100;51;
140527;2200;68;
140527;2300;88;
140528;0000;85;
140528;0100;83;
140528;0200;80;
140528;0300;79;
140528;0400;79;
140528;0500;79;
140528;0600;80;
140528;0700;78;
140528;0800;75;
140528;0900;74;
140528;1000;71;
140528;1100;65;
140528;1200;65;
140528;1300;69;
140528;1400;69;
140528;1500;74;
140528;1600;78;
140528;1700;75;
140528;1800;77;
140528;1900;75;
140528;2000;72;
140528;2100;76;
140528;2200;76;
140528;2300;73;
140529;0000;65;
140529;0100;62;
140529;0200;78;
140529;0300;86;
140529;0400;86;
140529;0500;88;
140529;0600;87;
140529;0700;82;
140529;0800;75;
140529;0900;73;
140529;1000;74;
140529;1100;75;
140529;1200;74;
140529;1300;66;
140529;1400;72;
140529;1500;75;
140529;1600;75;
140529;1700;78;
140529;1800;84;
140529;1900;88;
140529;2000;87;
140529;2100;85;
140529;2200;84;
140529;2300;88;
140530;0000;89;
140530;0100;88;
140530;0200;88;
140530;0300;88;
140530;0400;88;
140530;0500;88;
140530;0600;89;
140530;0700;90;
140530;0800;88;
140530;0900;79;
140530;1000;69;
140530;1100;60;
140530;1200;65;
140530;1300;70;
140530;1400;65;
140530;1500;62;
140530;1600;70;
140530;1700;72;
140530;1800;81;
140530;1900;79;
140530;2000;82;
140530;2100;86;
140530;2200;88;
140530;2300;89;
140531;0000;90;
140531;0100;90;
140531;0200;91;
140531;0300;91;
140531;0400;92;
140531;0500;92;
140531;0600;92;
140531;0700;91;
140531;0800;90;
140531;0900;82;
140531;1000;67;
140531;1100;70;
140531;1200;69;
140531;1300;63;
140531;1400;56;
140531;1500;54;
140531;1600;61;
140531;1700;69;
140531;1800;73;
140531;1900;80;
140531;2000;83;
140531;2100;86;
140531;2200;88;
140531;2300;88;
140601;0000;90;
140601;0100;91;
140601;0200;90;
140601;0300;91;
140601;0400;92;
140601;0500;92;
140601;0600;92;
140601;0700;93;
140601;0800;91;
140601;0900;85;
140601;1000;67;
140601;1100;65;
140601;1200;65;
140601;1300;61;
140601;1400;59;
140601;1500;57;
140601;1600;71;
140601;1700;79;
140601;1800;87;
140601;1900;88;
140601;2000;87;
140601;2100;88;
140601;2200;88;
140601;2300;89;
140602;0000;89;
140602;0100;89;
140602;0200;89;
140602;0300;89;
140602;0400;89;
140602;0500;89;
140602;0600;89;
140602;0700;89;
140602;0800;86;
140602;0900;80;
140602;1000;68;
140602;1100;66;
140602;1200;70;
140602;1300;72;
140602;1400;80;
140602;1500;80;
140602;1600;84;
140602;1700;88;
140602;1800;92;
140602;1900;92;
140602;2000;91;
140602;2100;92;
140602;2200;93;
140602;2300;92;
140603;0000;94;
140603;0100;96;
140603;0200;96;
140603;0300;94;
140603;0400;92;
140603;0500;90;
140603;0600;87;
140603;0700;85;
140603;0800;79;
140603;0900;65;
140603;1000;59;
140603;1100;56;
140603;1200;61;
140603;1300;64;
140603;1400;77;
140603;1500;88;
140603;1600;89;
140603;1700;90;
140603;1800;90;
140603;1900;94;
140603;2000;98;
140603;2100;98;
140603;2200;98;
140603;2300;98;
140604;0000;96;
140604;0100;95;
140604;0200;92;
140604;0300;93;
140604;0400;92;
140604;0500;93;
140604;0600;92;
140604;0700;87;
140604;0800;;
140604;0900;;
140604;1000;;
140604;1100;;
140604;1200;;
140604;1300;;
140604;1400;;
140604;1500;;
140604;1600;;
140604;1700;;
140604;1800;;
140604;1900;88;
140604;2000;87;
140604;2100;88;
140604;2200;89;
140604;2300;87;
140605;0000;88;
140605;0100;89;
140605;0200;88;
140605;0300;89;
140605;0400;88;
140605;0500;89;
140605;0600;89;
140605;0700;89;
140605;0800;88;
140605;0900;79;
140605;1000;62;
140605;1100;52;
140605;1200;63;
140605;1300;60;
140605;1400;52;
140605;1500;50;
140605;1600;54;
140605;1700;55;
140605;1800;74;
140605;1900;;
140605;2000;;
140605;2100;;
140605;2200;;
140605;2300;;
140606;0000;;
140606;0100;;
140606;0200;;
140606;0300;;
140606;0400;;
140606;0500;;
140606;0600;;
140606;0700;;
140606;0800;;
140606;0900;;
140606;1000;;
140606;1100;;
140606;1200;;
140606;1300;;
140606;1400;;
140606;1500;;
140606;1600;;
140606;1700;;
140606;1800;;
140606;1900;89;
140606;2000;90;
140606;2100;90;
140606;2200;89;
140606;2300;95;
140607;0000;95;
140607;0100;93;
140607;0200;92;
140607;0300;91;
140607;0400;92;
140607;0500;91;
140607;0600;91;
140607;0700;89;
140607;0800;87;
140607;0900;79;
140607;1000;72;
140607;1100;67;
140607;1200;73;
140607;1300;84;
140607;1400;92;
140607;1500;90;
140607;1600;90;
140607;1700;89;
140607;1800;91;
140607;1900;91;
140607;2000;90;
140607;2100;91;
140607;2200;92;
140607;2300;91;
