"modelo","fecha","pm25","fitted","lower","upper","error","exceso_incendio","fraccion_dia"
"ARIMAX",2024-02-03,119,10.5063793606629,4.32133169866148,25.5439792562914,108.493620639337,93.4560207437086,0.785344712132005
"ARIMAX lagged",2024-02-03,119,11.9064444833501,4.86250382749689,29.154407947906,107.09355551665,89.845592052094,0.755004975227681
"ARIMAX",2019-11-16,84,8.96894386722285,3.6889825022431,21.8060004471372,75.0310561327772,62.1939995528628,0.7404047565817
"ARIMAX",2021-01-17,100,11.8831817551516,4.88761810675423,28.8913752142029,88.1168182448484,71.1086247857971,0.711086247857971
"ARIMAX lagged",2019-11-16,84,10.6723616290998,4.35852069684554,26.1325597982626,73.3276383709002,57.8674402017374,0.688898097639731
"ARIMAX lagged",2021-01-17,100,12.8634770183614,5.25334883341914,31.4978209612279,87.1365229816386,68.5021790387721,0.685021790387721
"ARIMAX",2019-11-17,64,9.42207579268931,3.87535827320601,22.9076916209194,54.5779242073107,41.0923083790806,0.642067318423134
"ARIMAX",2021-03-23,74,11.4980571757253,4.72921424601617,27.9550284548042,62.5019428242747,46.0449715451958,0.622229345205348
"ARIMAX lagged",2019-11-17,64,10.3890945428195,4.24283609730807,25.4389476624191,53.6109054571805,38.5610523375809,0.602516442774702
"ARIMAX lagged",2021-03-23,74,12.7984372859279,5.22678708793689,31.3385630992831,61.2015627140721,42.6614369007169,0.576505904063742
