"Modelo","AIC","BIC","LogLik","RMSE","MAE"
"ARIMAX",1520.7575397913,1589.05742166502,-748.378769895649,7.34186832359424,4.42259381889377
"ARIMAX lagged",1462.92137431815,1531.21577548843,-719.460687159077,7.43075712052276,4.49245000010879
