"Modelo","Días","Abs","Rel","Prom","Max"
"ARIMAX",57,636.441287161281,0.0222796781895008,0.204803064833014,0.785344712132005
"ARIMAX lagged",66,676.95593997213,0.0237054291407406,0.197868727075874,0.755004975227681
